Key,Korean(ko),English(en),Chinese (Simplified)(zh-Hans),Japanese(ja)
GameClear_Stage2_Text3,"세찬 물보라 속에서도,<br>꿋꿋이 버텨냈구나.",You stood firm<br>amidst heavy spray.,在湍急的水花中，<br>依然屹立不倒。,激しき飛沫にも、<br>よく耐え抜いた。
GameClear_Stage2_Text4,세찬 물보라를<br>용케 넘겼구나.,You barely weathered<br>the heavy spray.,总算熬过了<br>这湍急的水花。,激しい水飛沫を<br>どうにか乗り越えたな。
GameClear_Stage2_Text5,옷을 말리고<br>...일단 휴식을 취해보게.,Dry your clothes<br>...and rest for now.,先弄干衣服，<br>……暂且休息吧。,衣を乾かして<br>…ひとまず休むがよい。
GameClear_Stage3_Text0,정상의 기운을<br>손바닥 위에 두었구나.,You hold The Peak's Qi<br>in your palm.,顶峰的真气<br>已尽在掌控之中。,山頂の気を<br>掌のうえに置いたな。
GameClear_Stage3_Text1,구름을 딛고<br>산맥을 굽어보는구나.,"Treading on clouds,<br>viewing the range.",踏云而立，<br>俯瞰这连绵山脉。,雲を踏み<br>山脈を見下ろすか。
GameClear_Stage3_Text2,비바람을 뚫고<br>...정상에 도달했구나.,Piercing the storm<br>...you reached The Peak.,穿过风雨<br>……抵达了顶峰。,雨風を突き抜け<br>…山頂に到達したな。
GameClear_Stage3_Text3,세찬 비바람 속에서도<br>중심을 잘 잡았구나.,You held your center<br>in the fierce storm.,在狂风暴雨中<br>也能稳住心神。,激しい雨風の中でも<br>よく芯を保ったな。
GameClear_Stage3_Text4,세찬 비바람 속에서도<br>끝내 버텨냈구나.,You endured<br>the fierce storm.,在狂风暴雨中<br>终究撑了下来。,激しい雨風の中でも<br>最後まで耐え抜いたな。
GameClear_Stage3_Text5,비바람이<br>...많이 거셌던 것 같군.,"The storm was<br>...quite fierce, it seems.",看来这风雨<br>……确实有些猛烈。,雨風が<br>…ずいぶん荒かったようだな。
GameClear_Stage4_Text0,열반의 기운이<br>네 눈 속에 피어나는구나.,The Qi of Nirvana<br>blooms in your eyes.,涅槃的真气<br>在你的眼中绽放。,涅槃の気が<br>そなたの目に咲くか。
GameClear_Stage4_Text1,거친 고해를<br>완벽히 건넜구나.,You perfectly crossed<br>the sea of suffering.,已完美渡过<br>这片汹涌的苦海。,荒れ狂う苦海を<br>完璧に渡り切ったな。
GameClear_Stage4_Text2,성난 파도를 가르며<br>거침없이 나아갔구나.,"Cleaving the raging waves,<br>you sailed unhindered.",劈波斩浪，<br>尽显一往无前之势。,荒波を切り裂き、<br>猛進したな。
GameClear_Stage4_Text3,거친 고해 속에서도<br>길을 잃지 않았군.,"In the sea of suffering,<br>you kept your course.",身处茫茫苦海，<br>亦未曾迷失航向。,荒れ狂う苦海でも、<br>進路を保ったな。
GameClear_Stage4_Text4,험한 물결에 휩쓸려<br>뱃길을 다소 헤매었구나.,"Tossed by rough tides,<br>you strayed from the path.",受困于惊涛骇浪，<br>险些偏离了航道。,荒波に翻弄され、<br>進路を違えたな。
GameClear_Stage4_Text5,앞으로의 여정은<br>...흔들림이 없기를.,May your Journey<br>...remain unwavering.,愿你今后的旅途<br>……不再动摇。,これからの旅に<br>…揺らぎがなきことを。
GameClear_Stage5_Text0,천계의 기운이<br>너를 맞이하는구나.,The Celestial Qi<br>welcomes you.,天界的真气<br>正在迎接你。,天界の気が<br>そなたを迎えておるな。
GameClear_Stage5_Text1,천당의 문이<br>반갑게 맞이하는구나!,The Celestial Gates<br>welcome you!,天界之门<br>正欣然迎接你！,天界の門が<br>喜んで迎えておる！
GameClear_Stage5_Text2,천당의 문이<br>환하게 보이는구나!,The Celestial Gates<br>shine brightly!,天界之门<br>已清晰可见！,天界の門が<br>明るく見えるな！
GameClear_Stage5_Text3,천당의 빛이<br>은은히 번지는구나.,The Celestial light<br>spreads softly.,天界的光芒<br>在隐隐闪烁。,天界の光が<br>ほのかに広がるな。
GameClear_Stage5_Text4,천당의 빛이<br>머지 않았구나.,The Celestial light<br>is close now.,距离天界的光芒<br>已然不远。,天界の光は<br>もう間近だな。
GameClear_Stage5_Text5,먼 길을 돌았지만<br>...천당을 찾았구나.,"A long detour,<br>...but you found the Celestial Temple.",虽然绕了远路，<br>……终究寻得了天界寺庙。,遠回りしたが<br>…天界の寺院を見つけたな。
GameClear_Stage6_Text0,천지의 기운이<br>너를 경외하는구나.,The Qi of Heaven and Earth<br>reveres you.,天地的真气<br>皆对你心生敬畏。,天地の気が<br>そなたを畏敬しておる。
GameClear_Stage6_Text1,일말의 탁기도<br>남지 않았구나.,No trace of<br>Corrupted Qi remains.,连一丝浊气<br>都未曾留下。,一抹の濁気すら<br>残っていないな。
GameClear_Stage6_Text2,탁기가 흩어져<br>고요를 되찾았군.,"Corrupted Qi scatters,<br>silence returns.",浊气消散，<br>重新恢复了宁静。,濁気が散り<br>静寂を取り戻したな。
GameClear_Stage6_Text3,불경한 것들의<br>기세는 꺾어놓았네.,The profane forces<br>are broken.,不敬之物的气焰<br>已被挫败。,不敬な者どもの<br>気勢を削いだか。
GameClear_Stage6_Text4,"위태로웠으나,<br>끝내 지켜내었구나.","It was perilous, but<br>you protected it.",虽履险境，<br>终是守住了。,危うかったが、<br>最後まで守り抜いたな。
GameClear_Stage6_Text5,"고단한 길이었지만,<br>...다행히 안식은 잘 드렸네.","An exhausting path,<br>...but you brought Him peace.",虽是疲惫之路，<br>……所幸已让佛祖重获清静。,険しき道なれど<br>…仏に安穏を届けたな。
GameClear_Stage7_Text0,...비로소 모든 기운을 관통해<br>득도(得道)에 이르렀구나.,"...Piercing all Qi,<br>you reached Enlightenment.",……终于贯通真气，<br>达到了得道之境。,…ついに気を貫き、<br>得道に至ったか。
GameClear_Stage7_Text1,만악의 근원을<br>완벽히 압도하였구나.,You flawlessly<br>crushed The Origin.,你已完美压制了<br>万恶的根源。,万悪の根源を<br>完璧に圧倒したな。
GameClear_Stage7_Text2,칠흑 같은 심연이<br>환하게 밝아지겠구나.,The pitch-black abyss<br>shall be lit brightly.,漆黑的深渊<br>即将大放光明。,漆黒の深淵が<br>明るく照らされよう。
GameClear_Stage7_Text3,칠흑 같은 심연에<br>한 줄기 빛을 새겼군.,You etched a ray of light<br>into the dark abyss.,在漆黑的深渊中<br>刻下了一缕光芒。,漆黒の深淵に<br>一筋の光を刻んだか。
GameClear_Stage7_Text4,심연 속에서도<br>끝내 중심을 잘 지켰구나.,You held your center<br>within the abyss.,即使在深渊中<br>终究稳住了本心。,深淵の中でも<br>最後まで芯を保ったな。
GameClear_Stage7_Text5,길고 고단했던 여정을<br>...기어이 매듭지었군.,This long Journey<br>...is finally complete.,漫长疲惫的旅途<br>……终于功德圆满。,長く険しき旅<br>…ついに結願したな。
GameClear_StageChristmas_Text0,자네 기운 덕분에...<br>거룩한 밤을 보내겠군!,Thanks to your Qi...<br>we shall have a Holy Night!,多亏了你这股真气…<br>定能度过一个平安夜！,その気のおかげで…<br>聖なる夜となろう。
GameClear_StageChristmas_Text1,붉은 옷자락이<br>제 주인을 찾았구나!,These scarlet robes<br>have found their match!,这袭红袍<br>终遇真主！,赤き衣も<br>主を得たようだな！
GameClear_StageChristmas_Text2,붉은 지팡이를<br>제법 다루는군.,You wield that red staff<br>with great skill.,那根红杖<br>你用得倒挺顺手。,赤き杖を<br>見事に使いこなしておる。
GameClear_StageChristmas_Text3,낯선 방울 소리에도<br>발걸음이 가볍군.,"Strange chimes ring,<br>yet your flow is unbroken.",铃音虽异，<br>你的步法却丝毫不乱。,奇妙な鈴の音にも<br>歩法に乱れはないな。
GameClear_StageChristmas_Text4,굴뚝으로<br>숨을 것까지는 없다네!,No need to retreat<br>down the chimney!,倒也不必<br>退避至烟囱之中！,煙突へ<br>退避することはないぞ！
GameClear_StageChristmas_Text5,울고 나면<br>...선물은 없다네!,"Weep, and there shall be<br>...no rewards for you!",若落泪…<br>便没有赏赐了！,泣く子には…<br>褒美はないぞ！
GameClear_StageEDM_Text0,이지음(異地音) 가락에도<br>기운이 또렷하군!,This Exotic Dance Melody...<br>Your Qi is clear!,「异地音」旋律中，<br>真气依然鲜明！,「異地音」の調べでも、<br>気は冴えておるな！
GameClear_StageEDM_Text1,동작이 마치<br>전광석화같군!,Swift as a<br>Quick Attack!,身法宛如<br>电光一闪！,まさに<br>電光石火よ！
GameClear_StageEDM_Text2,기이한 울림마저<br>네 장단으로 삼는군!,These strange echoes...<br>You master the rhythm!,连这奇异的共鸣，<br>也化作了你的律动！,奇妙な響きさえ、<br>己が調べとするか！
GameClear_StageEDM_Text3,기이한 울림에도<br>주눅들지 않았구나!,Undaunted by<br>these strange echoes!,面对此等异鸣，<br>你亦未曾退缩！,奇妙な響きにも、<br>臆さぬとはな！
GameClear_StageEDM_Text4,해괴한 쇳소리에<br>혼미해졌던 것 같군.,Harsh metallic beats...<br>Your mind is clouded.,看来那古怪的金属声，<br>扰乱了你的心绪。,奇怪な金属音に、<br>心乱されたか。
GameClear_StageEDM_Text5,흥이 다 깨져버렸으니<br>...책임지시오!,You threw off my groove...<br>Now pay the price!,雅兴已尽…<br>你要如何担待！,興が冷めたぞ…<br>責任を取るがよい！
GameClear_StageNight_Text0,타고난 기운이<br>달빛처럼 보이는구나!,Your innate Qi<br>shines like moonlight!,与生俱来的真气，<br>宛如皎洁的月光！,生まれ持った気が、<br>月明かりのように見えるな！
GameClear_StageNight_Text1,달빛 아래 펼쳐진<br>한 폭의 그림 같군!,A masterwork<br>beneath the moonlight!,宛如月光下展开的<br>一幅画卷！,月明かりの下に広がる<br>一幅の絵のようだな！
GameClear_StageNight_Text2,구름 위 철탑마저<br>네 발아래 있구나.,Even the Iron Tower above clouds<br>lies beneath your feet.,连云端之上的铁塔，<br>也被你踩在脚下。,雲の上の鉄塔さえ、<br>そなたの足下にあるか。
GameClear_StageNight_Text3,속세의 불빛 속에서도<br>거침없이 나아갔구나.,"Unstoppable, <br>even in the Secular World's glare.",纵然身处红尘灯火，<br>你依然一往无前。,俗世の灯りの中でも、<br>躊躇うことなく進んだな。
GameClear_StageNight_Text4,속세의 불빛에도<br>끝내 마음을 다잡았구나.,"Despite the Secular World's lights,<br>you held your mind steady.",面对红尘灯火，<br>你终究稳住了心绪。,俗世の灯りにも、<br>最後まで心を保ったな。
GameClear_StageNight_Text5,속세의 불빛이<br>...너무 눈부셨나 보군.,The Secular World's lights<br>...must have been too dazzling.,看来这红尘的灯火，<br>……过于耀眼了啊。,俗世の灯りが<br>…眩しすぎたようだな。
GameClear_EventStageInfo_Text,염주에 기이한 푸른 빛의 구슬이 맺혔습니다.,A mystic blue bead has emerged.,念珠现出了一颗幽蓝异珠。,数珠に奇妙な青い珠が宿りました。
GameClear_Stage7_GoEndingInfo_Text,< 화면을 눌러 최종장으로 넘어가시오. >,< Click to enter the final chapter. >,< 点击屏幕，进入最终章。>, < 画面をクリックして、最終章へ進め。>
GameClear_ScoreExPression_Text,{Score}점,Score: {Score},分数 : {Score},スコア: {Score}
GameClear_Stage7_SmallInfo_text,"[ESC]로 퇴장 시, 제7장을 다시 완료해야 합니다.",[ESC] Exit: Must clear Chapter 7 again.,[ESC] 退出：需重新通关第7章,[ESC] 退出：第7章の再クリアが必要です。
